grade,month,day,heat_id,nom_length,billets_qty,l1_length,l2_length,l3_length,l1_romb,l2_romb,l3_romb
SAE 3702,Abril,7,35028361.0,5.42,101,5.42,5.43,5.42,2,2,2.0
SAE 3702,Abril,7,35028362.0,5.42,104,5.42,5.42,5.42,2,2,2.0
SAE 3702,Abril,7,35028363.0,5.42,98,5.42,5.42,5.42,2,2,2.0
SAE 3702,Abril,7,35028364.0,5.42,99,5.42,5.42,5.42,2,2,2.0
SAE 1022,Abril,8,35028345.0,5.13,100,5.14,5.14,5.13,12,12,6.0
SAE 3702,Abril,8,35028365.0,5.42,93,5.42,5.42,5.42,12,12,8.0
SAE 3702,Abril,8,35028366.0,5.42,99,5.42,5.42,5.42,11,4,4.0
SAE 3702,Abril,8,35028367.0,5.42,97,5.43,5.43,5.42,5,3,3.0
SAE 3702,Abril,8,35028368.0,5.42,104,5.42,5.41,5.42,2,2,3.0
SAE 3702,Abril,8,35028369.0,5.42,99,5.42,5.41,5.42,2,2,2.0
SAE 3702,Abril,8,35028370.0,5.42,101,5.42,5.43,5.43,2,3,3.0
SAE 3702,Abril,8,35028371.0,5.42,98,5.41,5.42,5.43,3,2,2.0
SAE 3702,Abril,8,35028372.0,5.42,100,5.43,5.42,5.42,2,2,2.0
SAE 3702,Abril,8,35028390.0,5.42,102,5.42,5.41,5.41,2,2,1.0
SAE 3702,Abril,8,35028391.0,5.42,101,5.43,5.43,5.42,3,2,2.0
SAE 3702,Abril,8,35028392.0,5.42,101,5.43,5.41,5.42,1,2,2.0
SAE 3702,Abril,8,35028393.0,5.42,104,5.43,5.42,5.41,6,,2.0
SAE 3702,Abril,8,35028346.0,5.42,95,5.42,,5.43,6,,3.0
SAE 1022,Abril,9,35028347.0,5.13,99,5.13,5.12,5.13,12,10,5.0
SAE 3702,Abril,9,35028402.0,5.37,97,5.37,5.36,5.36,11,10,8.0
SAE 3702,Abril,9,35028403.0,5.37,98,5.37,5.36,5.37,4,4,3.0
SAE 3702,Abril,9,35028404.0,5.37,99,5.37,5.36,5.37,3,3,3.0
SAE 3702,Abril,9,35028405.0,5.37,96,5.36,5.36,5.36,3,5,3.0
SAE 3702,Abril,9,35028406.0,5.37,100,5.36,5.38,5.37,2,2,2.0
SAE 3702,Abril,9,35028407.0,5.37,101,5.37,5.37,5.36,1,2,2.0
SAE 3702,Abril,9,35028408.0,5.37,98,5.36,5.36,5.37,1,2,1.0
SAE 3702,Abril,9,35028409.0,5.37,105,5.37,5.38,5.37,1,2,2.0
SAE 3702,Abril,9,35028410.0,5.37,97,5.38,5.38,5.37,1,2,1.0
SAE 3702,Abril,9,35028411.0,5.37,100,5.37,5.37,5.39,1,2,2.0
SAE 3702,Abril,9,35028412.0,5.37,98,5.38,5.37,5.38,1,2,2.0
SAE 3702,Abril,9,35028413.0,5.37,104,5.39,5.37,5.37,2,2,2.0
SAE 3702,Abril,9,35028414.0,5.37,98,5.38,5.39,5.37,2,2,2.0
SAE 3702,Abril,9,35028415.0,5.37,102,5.38,5.37,5.37,2,2,1.0
SAE 3702,Abril,9,35028416.0,5.37,101,5.38,5.37,5.37,2,2,2.0
SAE 3702,Abril,9,35028417.0,5.37,97,5.37,5.37,5.37,2,2,2.0
SAE 1011,Abril,10,35028348.0,4.4,107,4.4,4.41,4.41,4,4,4.0
SAE 3702,Abril,10,35028418.0,5.37,94,5.37,5.36,5.36,11,11,6.0
SAE 3702,Abril,10,35028419.0,5.37,97,5.38,5.36,5.38,3,2,2.0
SAE 3702,Abril,10,35028420.0,5.37,98,5.38,5.37,5.38,3,3,2.0
SAE 3702,Abril,10,35028421.0,5.37,99,5.38,5.37,5.38,3,2,2.0
SAE 3702,Abril,10,35028422.0,5.37,98,5.38,5.37,5.38,4,2,2.0
SAE 3702,Abril,10,35028423.0,5.37,101,5.38,5.37,5.38,2,2,2.0
SAE 3702,Abril,10,35028424.0,5.37,100,5.38,5.37,5.38,4,2,2.0
SAE 3702,Abril,10,35028425.0,5.37,106,5.38,5.37,5.38,3,2,2.0
SAE 3702,Abril,10,35028426.0,5.37,98,5.38,5.36,5.38,3,3,2.0
SAE 3702,Abril,10,35028427.0,5.37,110,5.38,5.37,5.38,3,2,2.0
SAE 3702,Abril,10,35028428.0,5.37,96,5.38,5.37,5.38,4,2,2.0
SAE 3702,Abril,10,35028429.0,5.37,101,5.38,5.37,5.38,2,2,2.0
SAE 3702,Abril,10,35028430.0,5.37,106,5.38,5.37,5.38,4,2,2.0
SAE 3702,Abril,10,35028431.0,5.37,101,5.38,5.37,5.38,3,2,2.0
SAE 3702,Abril,10,35028432.0,5.37,98,5.38,5.37,5.38,3,2,2.0
SAE 1011,Abril,11,35028450.0,4.4,116,4.4,4.39,4.4,2,2,2.0
SAE 3702,Abril,11,35028433.0,5.37,90,5.36,5.37,5.36,11,4,8.0
SAE 3702,Abril,11,35028434.0,5.37,98,5.37,5.37,5.36,4,3,4.0
SAE 3702,Abril,11,35028435.0,5.37,102,5.38,5.38,5.37,3,2,5.0
SAE 3702,Abril,11,35028436.0,5.37,101,5.38,5.38,5.37,2,2,3.0
SAE 3702,Abril,11,35028437.0,5.37,105,5.38,5.38,5.37,3,2,2.0
SAE 3702,Abril,11,35028438.0,5.37,100,5.38,5.38,5.37,2,2,1.0
SAE 1011,Abril,11,35028451.0,4.4,17,4.4,4.41,4.4,5,6,5.0
SAE 3702,Abril,11,35028439.0,5.37,98,5.37,5.37,5.37,12,12,10.0
SAE 3702,Abril,11,35028440.0,5.37,107,5.37,5.38,5.38,5,9,8.0
SAE 3702,Abril,11,35028441.0,5.37,96,5.38,5.37,5.37,3,3,2.0
SAE 3702,Abril,11,35028442.0,5.37,104,5.38,,5.37,3,,2.0
SAE 3702,Abril,11,35028443.0,5.37,101,5.38,,5.37,3,,3.0
SAE 1011,Abril,12,35028452.0,4.4,114,4.4,4.41,4.41,2,6,3.0
SAE 3702,Abril,12,35028444.0,5.37,90,5.38,5.37,5.38,11,10,8.0
SAE 3702,Abril,12,35028445.0,5.37,102,5.38,5.37,5.38,4,2,2.0
SAE 3702,Abril,12,35028446.0,5.37,103,5.38,5.37,5.38,3,3,2.0
SAE 3702,Abril,12,35028447.0,5.37,105,5.38,5.37,5.38,3,2,2.0
SAE 3702,Abril,12,35028448.0,5.37,98,5.38,5.37,5.37,2,2,2.0
SAE 3702,Abril,12,35028449.0,5.37,103,5.38,5.37,5.38,2,2,1.0
SAE 3702,Abril,12,35028456.0,5.37,98,,5.39,5.37,,4,3.0
SAE 1011,Abril,14,35028453.0,4.4,115,4.41,4.4,4.41,3,5,3.0
SAE 3702,Abril,14,35028457.0,5.37,90,5.37,5.38,5.37,12,11,7.0
SAE 3702,Abril,14,35028458.0,5.37,104,5.37,5.37,5.38,6,5,7.0
SAE 3702,Abril,14,35028459.0,5.37,102,5.37,5.36,5.36,5,3,3.0
SAE 3702,Abril,14,35028460.0,5.37,103,5.37,5.36,5.36,4,3,3.0
SAE 3702,Abril,14,35028461.0,5.37,102,5.37,5.36,5.36,4,2,2.0
SAE 3702,Abril,14,35028462.0,5.37,101,5.37,5.36,5.36,5,2,2.0
SAE 3702,Abril,14,35028463.0,5.37,102,5.37,5.37,5.37,2,2,2.0
SAE 3702,Abril,14,35028464.0,5.37,102,5.37,5.37,5.37,2,2,2.0
SAE 3702,Abril,14,35028465.0,5.37,103,5.37,5.37,5.37,2,2,3.0
SAE 3702,Abril,14,35028466.0,5.37,101,5.37,5.36,5.36,2,2,3.0
SAE 3702,Abril,14,35028467.0,5.37,101,5.37,5.36,5.36,4,3,2.0
SAE 3702,Abril,14,35028468.0,5.37,106,5.37,5.37,5.38,4,2,2.0
SAE 3702,Abril,14,35028469.0,5.37,95,5.37,5.37,5.38,4,2,3.0
SAE 3702,Abril,14,35028470.0,5.37,101,5.37,5.37,5.38,3,2,3.0
SAE 1022,Abril,15,35028454.0,5.13,95,5.13,5.14,5.14,4,10,4.0
SAE 3702,Abril,15,35028471.0,5.37,99,5.38,5.37,5.38,7,9,9.0
SAE 3702,Abril,15,35028472.0,5.37,97,5.37,5.36,5.37,2,9,2.0
SAE 3702,Abril,15,35028473.0,5.37,102,5.38,5.37,5.37,2,9,2.0
SAE 3702,Abril,15,35028474.0,5.37,101,5.37,5.38,5.37,2,6,3.0
SAE 3702,Abril,15,35028475.0,5.37,102,5.39,5.37,5.37,2,8,2.0
SAE 3702,Abril,15,35028476.0,5.37,101,5.39,5.37,5.37,2,7,2.0
SAE 3702,Abril,15,35028477.0,5.37,101,5.39,5.37,5.37,2,7,2.0
SAE 3702,Abril,15,35028478.0,5.37,101,5.39,5.37,5.37,2,7,2.0
SAE 3702,Abril,15,35028479.0,5.37,101,5.39,5.37,5.37,3,7,3.0
SAE 3702,Abril,15,35028480.0,5.37,100,5.39,5.37,5.37,3,7,3.0
SAE 3702,Abril,15,35028481.0,5.37,100,5.39,5.37,5.37,3,7,3.0
SAE 3702,Abril,15,35028482.0,5.37,97,5.39,5.37,5.37,2,4,2.0
SAE 3702,Abril,15,35028483.0,5.37,99,5.39,5.37,5.37,3,2,3.0
SAE 3702,Abril,15,35028484.0,5.37,101,5.39,5.37,5.37,3,1,
SAE 3702,Abril,15,35028485.0,5.37,91,5.39,5.37,5.37,3,3,3.0
SAE 1022,Abril,16,35028492.0,5.13,97,5.14,5.13,5.14,14,9,7.0
SAE 1030,Abril,16,35028497.0,4.7,110,4.71,4.7,4.71,9,9,10.0
SAE 1030,Abril,16,35028498.0,4.7,117,4.71,4.71,4.7,5,7,6.0
SAE 1030,Abril,16,35028499.0,4.7,111,4.71,4.72,4.71,4,7,6.0
SAE 1030,Abril,16,35028500.0,4.7,113,4.71,4.71,4.7,5,9,4.0
SAE 1030,Abril,16,35028501.0,4.7,112,4.71,4.71,4.7,5,9,4.0
SAE 1030,Abril,16,35028502.0,4.7,112,4.7,4.7,4.7,4,7,4.0
SAE 1030,Abril,16,35028503.0,4.7,113,4.71,4.71,4.7,11,11,4.0
SAE 1030,Abril,16,35028504.0,4.7,117,4.71,4.71,4.7,4,8,3.0
SAE 1030,Abril,16,35028505.0,4.7,113,4.71,4.71,4.71,5,9,3.0
SAE 1030,Abril,16,35028506.0,4.7,112,4.71,4.71,4.7,3,9,7.0
SAE 1030,Abril,16,35028507.0,4.7,112,4.71,4.71,4.7,3,9,7.0
SAE 1030,Abril,16,35028508.0,4.7,114,4.71,4.71,4.7,4,9,6.0
SAE 1030,Abril,16,35028509.0,4.7,113,4.71,4.71,4.7,7,9,6.0
SAE 1030,Abril,16,35028510.0,4.7,113,4.71,4.71,4.7,7,,6.0
SAE 1030,Abril,16,35028511.0,4.7,105,4.7,4.71,4.7,7,,7.0
SAE 1022,Abril,17,35028493.0,5.13,96,5.13,5.14,5.13,13,10,9.0
SAE 1030,Abril,17,35028512.0,4.7,111,4.7,4.71,4.71,11,11,8.0
SAE 1030,Abril,17,35028513.0,4.7,112,4.71,4.71,4.7,7,11,5.0
SAE 1030,Abril,17,35028514.0,4.7,112,4.7,4.71,4.71,8,9,5.0
SAE 1030,Abril,17,35028515.0,4.7,113,4.7,4.71,4.71,9,9,5.0
SAE 1030,Abril,17,35028516.0,4.7,112,4.7,4.71,4.71,9,9,5.0
SAE 1030,Abril,17,35028517.0,4.7,115,4.7,4.7,4.7,8,9,5.0
SAE 1030,Abril,17,35028518.0,4.7,115,4.7,4.7,4.7,8,9,5.0
SAE 1030,Abril,17,35028519.0,4.7,98,4.7,4.7,4.7,12,12,9.0
SAE 1030,Abril,17,35028520.0,4.7,110,4.7,4.7,4.7,12,12,5.0
SAE 3460,Abril,17,35028521.0,12.0,43,12.01,12.02,12.02,10,10,9.0
